Problem,Session,Loop_Stage,Method,Parameters,Silhouette,ARI,Time,Timestamp
Iris Clustering,1,Initial,Self-Organizing Map (SOM),"{'map_size': (3, 3), 'learning_rate_initial': 0.8, 'learning_rate_final': 0.01, 'neighborhood_initial': 1.5, 'max_epochs': 500, 'topology': 'hexagonal'}",0.36351789404779755,0.3966261717788666,2.0357394218444824,2026-02-05T22:07:24.888243
Iris Clustering,1,Feedback,Self-Organizing Map (SOM),"{'map_size': (5, 5), 'learning_rate_initial': 0.6, 'learning_rate_final': 0.01, 'neighborhood_initial': 1.5, 'max_epochs': 750, 'topology': 'rectangular'}",0.3212346888663399,0.17771705784095432,3.261033058166504,2026-02-05T22:07:45.062560
Iris Clustering,2,Initial,SOM,"{'map_size': (3, 3), 'learning_rate_initial': 0.5, 'learning_rate_final': 0.01, 'neighborhood_initial': 1.0, 'max_epochs': 500, 'topology': 'hexagonal'}",0.36351789404779755,0.3966261717788666,2.1048004627227783,2026-02-05T22:07:54.858892
Iris Clustering,2,Feedback,SOM,"{'map_size': (5, 5), 'learning_rate_initial': 0.3, 'learning_rate_final': 0.01, 'neighborhood_initial': 1.0, 'max_epochs': 1000, 'topology': 'hexagonal'}",0.31479170768598036,0.17463707716885463,9.729931831359863,2026-02-05T22:08:29.125835
Iris Clustering,3,Initial,SOM,"{'map_size': (2, 2), 'learning_rate_initial': 0.5, 'learning_rate_final': 0.01, 'neighborhood_initial': 1.0, 'max_epochs': 500, 'topology': 'rectangular'}",0.38694104154427816,0.4728177114181946,4.4396045207977295,2026-02-05T22:08:44.906902
Iris Clustering,3,Feedback,SOM,"{'map_size': (4, 4), 'learning_rate_initial': 0.7, 'learning_rate_final': 0.005, 'neighborhood_initial': 2.0, 'max_epochs': 750, 'topology': 'hexagonal'}",0.3594907958653329,0.2632985913969773,3.1978352069854736,2026-02-05T22:09:06.436967
Mall Customer Segmentation,1,Initial,SOM,"{'map_size': (3, 3), 'learning_rate_initial': 0.8, 'learning_rate_final': 0.01, 'neighborhood_initial': 2.0, 'max_epochs': 500, 'topology': 'hexagonal'}",0.3948151730284441,0.0,2.8746798038482666,2026-02-05T22:09:22.817133
Mall Customer Segmentation,1,Feedback,SOM,"{'map_size': (5, 5), 'learning_rate_initial': 0.6, 'learning_rate_final': 0.01, 'neighborhood_initial': 2.0, 'max_epochs': 750, 'topology': 'hexagonal'}",0.34250128032831584,0.0,4.954697847366333,2026-02-05T22:09:50.391349
Mall Customer Segmentation,2,Initial,Self-Organizing Map (SOM),"{'map_size': (3, 3), 'learning_rate_initial': 0.8, 'learning_rate_final': 0.01, 'neighborhood_initial': 2.0, 'max_epochs': 500, 'topology': 'hexagonal'}",0.391736670183977,0.0,3.2344563007354736,2026-02-05T22:10:21.468945
Mall Customer Segmentation,2,Feedback,Self-Organizing Map (SOM),"{'map_size': (5, 5), 'learning_rate_initial': 0.6, 'learning_rate_final': 0.005, 'neighborhood_initial': 1.5, 'max_epochs': 750, 'topology': 'hexagonal'}",0.3282872306231815,0.0,7.362776041030884,2026-02-05T22:10:58.840214
Mall Customer Segmentation,3,Initial,Self-Organizing Map (SOM),"{'map_size': (3, 3), 'learning_rate_initial': 0.8, 'learning_rate_final': 0.01, 'neighborhood_initial': 2.0, 'max_epochs': 500, 'topology': 'hexagonal'}",0.3909373917479627,0.0,5.504642963409424,2026-02-05T22:11:29.017708
Mall Customer Segmentation,3,Feedback,Self-Organizing Map (SOM),"{'map_size': (5, 5), 'learning_rate_initial': 0.6, 'learning_rate_final': 0.01, 'neighborhood_initial': 2.0, 'max_epochs': 750, 'topology': 'hexagonal'}",0.3253580306296158,0.0,4.872932195663452,2026-02-05T22:12:01.938613
Synthetic Clustering (5 clusters),1,Initial,Self-Organizing Map (SOM),"{'map_size': (2, 3), 'learning_rate_initial': 0.5, 'learning_rate_final': 0.01, 'neighborhood_initial': 1.0, 'max_epochs': 1000, 'topology': 'hexagonal'}",0.5552453047641497,0.893298532187951,19.28824472427368,2026-02-05T22:12:50.545873
Synthetic Clustering (5 clusters),1,Feedback,Self-Organizing Map (SOM),"{'map_size': (3, 4), 'learning_rate_initial': 0.6, 'learning_rate_final': 0.005, 'neighborhood_initial': 1.5, 'max_epochs': 1200, 'topology': 'hexagonal'}",0.24921903308560564,0.5399350241365143,25.203890562057495,2026-02-05T22:14:00.676695
Synthetic Clustering (5 clusters),2,Initial,Self-Organizing Map (SOM),"{'map_size': (2, 3), 'learning_rate_initial': 0.5, 'learning_rate_final': 0.01, 'neighborhood_initial': 5.0, 'max_epochs': 1000, 'topology': 'hexagonal'}",0.5552453047641497,0.893298532187951,14.574259281158447,2026-02-05T22:14:39.150969
Synthetic Clustering (5 clusters),2,Feedback,Self-Organizing Map (SOM),"{'map_size': (5, 5), 'learning_rate_initial': 0.3, 'learning_rate_final': 0.01, 'neighborhood_initial': 5.0, 'max_epochs': 1500, 'topology': 'hexagonal'}",0.2014756072966998,0.3616190414558285,33.15128207206726,2026-02-05T22:15:35.509779
Synthetic Clustering (5 clusters),3,Initial,Self-Organizing Map (SOM),"{'map_size': (2, 3), 'learning_rate_initial': 0.5, 'learning_rate_final': 0.01, 'neighborhood_initial': 1.0, 'max_epochs': 1000, 'topology': 'hexagonal'}",0.5586491849314713,0.8968207900903864,12.499041080474854,2026-02-05T22:15:59.821164
