Comparison_Type,Problem,Method1,Method2,P_Value,Significant,Mean1,Mean2,Effect_Size
Dimension,Rastrigin,10D,20D,0.011925233593017595,Yes,4.576810655065321,14.925443528370982,10.348632873305661
Dimension,Rastrigin,10D,30D,0.011925233593017595,Yes,4.576810655065321,38.010745865126,33.433935210060675
Dimension,Rastrigin,20D,30D,0.09523809523809523,No,14.925443528370982,38.010745865126,23.085302336755014
Dimension,Ackley,10D,20D,1.0,No,0.9629374744137511,0.8549121587991333,0.10802531561461781
Dimension,Ackley,10D,30D,0.20869044313696405,No,0.9629374744137511,1.666783873171455,0.7038463987577039
Dimension,Ackley,20D,30D,0.05555555555555555,No,0.8549121587991333,1.666783873171455,0.8118717143723218
Dimension,Rosenbrock,10D,20D,0.031746031746031744,Yes,6.268980414072059,42.4779509466933,36.20897053262124
Dimension,Rosenbrock,10D,30D,0.007936507936507936,Yes,6.268980414072059,129.67381546603534,123.40483505196327
Dimension,Rosenbrock,20D,30D,0.031746031746031744,Yes,42.4779509466933,129.67381546603534,87.19586451934204
Dimension,Sphere,10D,20D,0.007936507936507936,Yes,2.930642389771772e-29,1.9291999853080935e-10,1.9291999853080935e-10
Dimension,Sphere,10D,30D,0.007936507936507936,Yes,2.930642389771772e-29,0.0020233845422583663,0.0020233845422583663
Dimension,Sphere,20D,30D,0.007936507936507936,Yes,1.9291999853080935e-10,0.0020233845422583663,0.0020233843493383677
