Problem1,Problem2,PValue,Significant,EffectSize,BonferroniCorrected
TSP-eil51,TSP-berlin52,0.062500,No,1.000000,0.005000
TSP-eil51,TSP-kroA100,0.062500,No,1.000000,0.005000
TSP-eil51,TSP-random_30,0.062500,No,1.000000,0.005000
TSP-eil51,TSP-random_50,0.062500,No,1.000000,0.005000
TSP-berlin52,TSP-kroA100,0.062500,No,1.000000,0.005000
TSP-berlin52,TSP-random_30,0.062500,No,1.000000,0.005000
TSP-berlin52,TSP-random_50,0.062500,No,1.000000,0.005000
TSP-kroA100,TSP-random_30,0.062500,No,1.000000,0.005000
TSP-kroA100,TSP-random_50,0.062500,No,1.000000,0.005000
TSP-random_30,TSP-random_50,0.062500,No,1.000000,0.005000
